location,Basel,Basel,Basel,Basel
lat,47.54694,47.54694,47.54694,47.54694
lon,7.56892,7.56892,7.56892,7.56892
asl,283.697,283.697,283.697,283.697
variable,Temperature,Relative Humidity,Wind Speed,Wind Direction
unit,°C,%,km/h,°
level,2 m elevation corrected,2 m,10 m,10 m
resolution,hourly,hourly,hourly,hourly
aggregation,None,None,None,None
timestamp,Basel Temperature [2 m elevation corrected],Basel Relative Humidity [2 m],Basel Wind Speed [10 m],Basel Wind Direction [10 m]
20200202T0200,9.700529,79.0,24.1388,252.64598
20200202T0300,9.650529,77.0,22.007162,254.82709
20200202T0400,9.090529,79.0,17.782688,248.62938
20200202T0500,9.220529,80.0,16.516901,249.59012
20200202T0600,9.290529,82.0,14.336861,241.50436
20200202T0700,9.780529,78.0,13.891522,238.7816
20200202T0800,9.990529,78.0,13.608762,232.52382
20200202T0900,10.8005295,75.0,13.276144,229.39871
20200202T1000,11.880529,72.0,12.475961,223.83087
20200202T1100,11.670529,73.0,18.289274,216.1932
20200202T1200,11.480529,73.0,23.269482,214.9194
20200202T1300,14.420529,73.0,39.86096,253.20163
20200202T1400,15.110529,72.0,38.548588,258.69006
20200202T1500,15.490529,73.0,36.860905,257.5926
20200202T1600,15.420529,73.0,34.322937,257.27563
20200202T1700,15.070529,73.0,30.96837,252.40758
20200202T1800,14.530529,75.0,29.257614,251.34212
20200202T1900,14.340529,76.0,29.157776,249.77515
20200202T2000,14.290529,77.0,29.714724,250.90651
20200202T2100,14.230529,78.0,29.157776,249.77515
20200202T2200,14.080529,82.0,25.0064,247.12634
20200202T2300,14.640529,78.0,34.57687,255.52971
20200203T0000,14.790529,78.0,38.966568,253.90918
20200203T0100,14.700529,77.0,42.785507,255.37914
20200203T0200,13.950529,72.0,40.796116,254.12405
20200203T0300,13.070529,74.0,38.72302,249.88037
20200203T0400,12.820529,73.0,38.023907,251.22197
20200203T0500,12.500529,75.0,36.247547,254.44543
20200203T0600,12.240529,77.0,35.27449,255.82195
20200203T0700,11.540529,83.0,32.908016,259.9194
20200203T0800,11.390529,85.0,30.676142,265.96228
20200203T0900,11.380529,85.0,31.129074,264.0257
20200203T1000,11.380529,85.0,31.035257,266.0091
20200203T1100,12.110529,82.0,30.317043,265.91437
20200203T1200,12.0505295,82.0,30.652895,266.63354
20200203T1300,14.600529,73.0,33.99475,264.5309
20200203T1400,14.470529,72.0,32.957207,263.72894
20200203T1500,14.910529,70.0,32.736256,261.7808
20200203T1600,15.100529,68.0,32.26572,259.0662
20200203T1700,14.470529,70.0,30.302078,256.95438
20200203T1800,13.500529,74.0,24.379204,253.70596
20200203T1900,13.140529,76.0,22.086521,250.9744
20200203T2000,12.8005295,78.0,16.75064,241.78264
20200203T2100,12.920529,76.0,16.279802,234.90419
20200203T2200,13.560529,69.0,19.878391,234.58295
20200203T2300,14.410529,57.0,32.039997,244.01077
20200204T0000,14.390529,51.0,40.13475,246.19406
20200204T0100,14.140529,48.0,45.258457,248.53711
20200204T0200,13.870529,51.0,48.75043,249.69156
20200204T0300,11.5505295,72.0,49.934998,264.2072
20200204T0400,7.3505287,82.0,39.28456,333.90457
20200204T0500,6.1105285,76.0,27.897097,289.6041
20200204T0600,5.6305285,81.0,26.525429,277.8002
20200204T0700,5.5105286,83.0,30.190672,278.22675
20200204T0800,4.1105285,77.0,32.219494,283.57043
20200204T0900,4.2505283,76.0,30.599998,278.79742
20200204T1000,4.5105286,75.0,33.50128,278.65253
20200204T1100,4.3705287,73.0,33.353954,283.73627
20200204T1200,5.0205283,71.0,34.83639,288.0605
20200204T1300,4.8905287,72.0,31.09575,290.32315
20200204T1400,4.9005284,72.0,33.497414,290.77228
20200204T1500,4.4605284,74.0,35.281837,298.6571
20200204T1600,4.7405286,66.0,32.949345,303.8637
20200204T1700,4.4605284,69.0,30.811037,300.16006
20200204T1800,3.9505286,73.0,26.674032,291.37064
20200204T1900,3.7105286,76.0,27.897097,287.2658
20200204T2000,3.6105285,79.0,25.277023,280.6698
20200204T2100,3.4505286,83.0,29.96662,286.03995
20200204T2200,3.4005284,84.0,26.260265,298.67316
20200204T2300,3.2705286,83.0,20.808498,300.11374
20200205T0000,3.1705287,83.0,19.319628,296.56506
20200205T0100,3.3105285,83.0,18.514643,296.56506
20200205T0200,3.2905285,83.0,18.204042,294.53772
20200205T0300,3.2005286,83.0,18.388212,293.0513
20200205T0400,2.9905286,83.0,17.727943,293.9625
20200205T0500,2.0605285,86.0,16.418526,285.25513
20200205T0600,0.46052867,92.0,15.273505,278.1301
20200205T0700,0.66052866,91.0,14.512064,277.125
20200205T0800,0.68052864,90.0,13.75558,276.009
20200205T0900,1.4805287,89.0,12.229406,312.61407
20200205T1000,2.2705286,81.0,12.074766,333.43497
20200205T1100,2.6105285,75.0,14.145756,345.25644
20200205T1200,3.2305286,69.0,13.5515,343.00916
20200205T1300,5.1905284,61.0,13.009903,345.57922
20200205T1400,5.4905286,60.0,11.304229,350.83765
20200205T1500,5.5305285,60.0,7.9526596,354.8056
20200205T1600,5.2705283,61.0,6.87779,6.0090027
20200205T1700,4.8405285,63.0,4.2136917,19.983109
20200205T1800,4.3405285,64.0,2.9024127,29.744873
20200205T1900,4.0105286,65.0,5.771239,93.576324
20200205T2000,2.3705285,70.0,11.013882,101.30993
20200205T2100,0.61052865,70.0,9.531505,100.88553
20200205T2200,-0.039471343,76.0,8.049845,116.56505
20200205T2300,-0.16947135,78.0,6.12,118.07248
20200206T0000,-0.50947136,80.0,5.4119864,93.81408
20200206T0100,-0.70947134,82.0,6.5693827,99.46232
20200206T0200,-0.50947136,80.0,6.379216,106.38954
20200206T0300,0.040528655,75.0,7.072878,104.74355
20200206T0400,0.14052865,76.0,7.968939,108.434944
20200206T0500,-0.009471342,76.0,9.107359,108.434944
20200206T0600,-0.40947133,76.0,9.360001,112.61986
20200206T0700,-0.47947133,75.0,9.339208,117.55281
20200206T0800,-0.33947134,75.0,10.464797,116.56505
20200206T0900,1.0805286,70.0,11.592895,115.76932
20200206T1000,2.7805285,62.0,11.165805,110.772255
20200206T1100,4.2605286,54.0,11.792404,102.33909
20200206T1200,5.8405285,47.0,9.0,89.99999
20200206T1300,7.6905284,52.0,7.5685663,2.7262878
20200206T1400,7.7705283,62.0,6.519877,353.65985
20200206T1500,8.200529,61.0,3.396233,327.99463
20200206T1600,8.330529,61.0,3.7064266,299.0546
20200206T1700,7.6705284,64.0,6.1305785,310.23636
20200206T1800,6.5305285,61.0,7.2,323.13013
